customer_id,churn_probability,clv,expected_value,segment,risk_level,recommended_action,retention_cost,group,actual_churned,intervention_success,retained,final_churned,cost,value_saved,net_value
0018-NYROU,0.8995533985311224,432.0,105.44282726617794,,high,monitor,50.0,control,1,,False,1,0,0,0
0082-OQIQY,0.8965333114383524,432.0,104.9209562165473,,high,monitor,50.0,control,1,,False,1,0,0,0
0082-OQIQY,0.8932411358831852,432.0,104.35206828061442,,high,monitor,50.0,control,1,,False,1,0,0,0
0115-TFERT,0.8935470134124138,432.0,104.40492391766512,,high,monitor,50.0,control,1,,False,1,0,0,0
0147-ESWWR,0.8944137040116354,432.0,104.5546880532106,,high,monitor,50.0,control,1,,False,1,0,0,0
0147-ESWWR,0.8928713609528757,432.0,104.28817117265692,,high,monitor,50.0,control,1,,False,1,0,0,0
0147-ESWWR,0.8916137092170712,432.0,104.0708489527099,,high,monitor,50.0,control,0,,False,0,0,0,0
0147-ESWWR,0.8969031063678773,432.0,104.98485678036924,,high,monitor,50.0,control,0,,False,0,0,0,0
0168-XZKBB,0.8978642757281515,432.0,105.1509468458246,,high,monitor,50.0,control,1,,False,1,0,0,0
0196-JTUQI,0.8990452886097757,432.0,105.35502587176929,,high,monitor,50.0,control,1,,False,1,0,0,0
0256-LTHVJ,0.8953924498868547,432.0,104.72381534044852,,high,monitor,50.0,control,1,,False,1,0,0,0
0257-ZESQC,0.8942791564806751,432.0,104.53143823986068,,high,monitor,50.0,control,1,,False,1,0,0,0
0257-ZESQC,0.8960168069626442,432.0,104.83170424314494,,high,monitor,50.0,control,1,,False,1,0,0,0
0257-ZESQC,0.8982071721071783,432.0,105.21019934012044,,high,monitor,50.0,control,1,,False,1,0,0,0
0258-NOKBL,0.8917037252030175,432.0,104.08640371508145,,high,monitor,50.0,control,1,,False,1,0,0,0
0265-EDXBD,0.8947178769068843,432.0,104.60724912950964,,high,monitor,50.0,control,1,,False,1,0,0,0
0265-EDXBD,0.8969794984479758,432.0,104.99805733181024,,high,monitor,50.0,control,1,,False,1,0,0,0
0311-UNPFF,0.8984207841909965,432.0,105.2471115082042,,high,monitor,50.0,control,1,,False,1,0,0,0
0311-UNPFF,0.8985859749935191,432.0,105.27565647888012,,high,monitor,50.0,control,1,,False,1,0,0,0
0315-LVCRK,0.8971678298947668,432.0,105.03060100581573,,high,monitor,50.0,control,1,,False,1,0,0,0
0354-WYROK,0.8978534424791784,432.0,105.14907486040204,,high,monitor,50.0,control,1,,False,1,0,0,0
0354-WYROK,0.8972972328485693,432.0,105.05296183623278,,high,monitor,50.0,control,1,,False,1,0,0,0
0354-WYROK,0.8928653181159619,432.0,104.28712697043824,,high,monitor,50.0,control,1,,False,1,0,0,0
0354-WYROK,0.896864079992533,432.0,104.97811302270972,,high,monitor,50.0,control,1,,False,1,0,0,0
0396-YCHWO,0.8965728174647688,432.0,104.92778285791206,,high,monitor,50.0,control,0,,False,0,0,0,0
0396-YCHWO,0.8982711242480863,432.0,105.22125027006932,,high,monitor,50.0,control,1,,False,1,0,0,0
0396-YCHWO,0.8984333996413519,432.0,105.24929145802562,,high,monitor,50.0,control,0,,False,0,0,0,0
0396-YCHWO,0.8921438125825021,432.0,104.16245081425636,,high,monitor,50.0,control,1,,False,1,0,0,0
0396-YCHWO,0.8921726004402881,432.0,104.1674253560818,,high,monitor,50.0,control,1,,False,1,0,0,0
0396-YCHWO,0.8929554222617003,432.0,104.30269696682184,,high,monitor,50.0,control,1,,False,1,0,0,0
0396-YCHWO,0.8957811305365889,432.0,104.79097935672256,,high,monitor,50.0,control,1,,False,1,0,0,0
0428-IKYCP,0.8934934856878899,432.0,104.39567432686738,,high,monitor,50.0,control,1,,False,1,0,0,0
0428-IKYCP,0.8937083877597825,432.0,104.43280940489043,,high,monitor,50.0,control,1,,False,1,0,0,0
0428-IKYCP,0.8953636101071829,432.0,104.7188318265212,,high,monitor,50.0,control,1,,False,1,0,0,0
0428-IKYCP,0.8988011559062197,432.0,105.31283974059475,,high,monitor,50.0,control,0,,False,0,0,0,0
0428-IKYCP,0.8996619578125585,432.0,105.46158631001016,,high,monitor,50.0,control,1,,False,1,0,0,0
0439-IFYUN,0.8988603435815087,432.0,105.3230673708847,,high,monitor,50.0,control,1,,False,1,0,0,0
0439-IFYUN,0.8936618320050409,432.0,104.4247645704711,,high,monitor,50.0,control,1,,False,1,0,0,0
0439-IFYUN,0.8987054720845123,432.0,105.29630557620374,,high,monitor,50.0,control,1,,False,1,0,0,0
0463-ZSDNT,0.899099231291373,432.0,105.36434716714928,,high,monitor,50.0,control,1,,False,1,0,0,0
0480-BIXDE,0.8951213161051109,432.0,104.67696342296318,,high,monitor,50.0,control,1,,False,1,0,0,0
